Name of the Project,Link to the project,Procurement Details,Link to the Procurement,Date of Publishment
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Junior Monitoring Assistant -1 No. (12 months),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00160022,"December 28, 2021"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance  of Koshi Barrage- Bhardaha (km 134.93 to km140.950 of NH01_012), Bhardaha-Rupani (km 161.74-km171.740 of NH01_013), Lahan Division DOR.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00159693,"December 26, 2021"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,Design and Develop Public Accounting Committee Management Information System (PACMIS),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00159544,"December 24, 2021"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,procurement of macbook laptop,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00159617,"December 24, 2021"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance  of Hilepani-Harkapur (km 466.34 to 473.34 of  NH03_017), Hilepani-Okhaldhunga (km 102.13 to 116.33 of NH20_006), Okhaldhunga-Mudhebisana-Salleri (km 137.330 to 195.04 of of  NH20_007 and 008), Harkapur Division DoR.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00158954,"December 20, 2021"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Procurement of 1 unit of Unified Storage and 8 units of UPS Batteries,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00158614,"December 17, 2021"
Nepal Urban Governance and Infrastructure Project - P163418,http://projects.worldbank.org/en/projects-operations/project-detail/P163418,Urban Development Support Team (UDST),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00158536,"December 16, 2021"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Hiring of Procurement Consultant for Six months- 1 No. (To support the procurement activities of EVENT II for fiscal year 2021/22),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00158033,"December 13, 2021"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Procurement of Semen Straw Filling, Sealing and Printing Machine for NLBO Banke",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00158135,"December 13, 2021"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Construction of Bull Mother Shed at Cattle Genetic Resource Centre, Jiri, Dolakha",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00157943,"December 12, 2021"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Procurement of Individual Consultant ; Social Development Expert/ Consultant,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00157775,"December 10, 2021"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Procurement of Individual Consultant ; Environmental Safeguard Consultant,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00157776,"December 10, 2021"
MDTF Funding for Earthquake Housing Reconstruction Project - P162067,http://projects.worldbank.org/en/projects-operations/project-detail/P162067,Selection of Firm for Providing Employability Enhancement Training to Women Mason in Earthquake Affected Districts,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00157795,"December 10, 2021"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,Procure of Laptop,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00157435,"December 8, 2021"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,"Purchase of Tablets (3 No.s), Desktop Computers (8 No.s), Laptop (6 No.s), Printer 3 in 1 (8 No.s) for ECO Office",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00157479,"December 8, 2021"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Selection of Financial Management Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00157134,"December 6, 2021"
NP Modernization of Rani Jamara Kulariya Irrigation Scheme - Phase 2 - P158364,http://projects.worldbank.org/en/projects-operations/project-detail/P158364,Command Area Protection works of Pathariya River- Package II,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00157233,"December 6, 2021"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Environmental Social Impact Assessment (ESIA), RAP and VCDP of Kamala-Dhalkebar-Pathlaiya",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00156906,"December 3, 2021"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Geotechnical Engineering Expert (GEE) at DOR-GESU,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00156587,"December 1, 2021"
MDTF Funding for Earthquake Housing Reconstruction Project - P162067,http://projects.worldbank.org/en/projects-operations/project-detail/P162067,Selection of Firm for Training on Mainstreaming of Disaster Management within Construction Works by Enhancing the Capacity of Sub-Engineer and Assistant Sub-Engineer of Local Level Governments,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00156390,"November 30, 2021"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Selection of District Support Engineer (DSE),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00156401,"November 30, 2021"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Selection of District Support Engineer (DSE),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00156436,"November 30, 2021"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,Procurement of Furniture for Training hall and IT Excellence center,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00156465,"November 30, 2021"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Selection of District Support Engineer (DSE),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00156191,"November 29, 2021"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Selection of District Support Engineer (DSE),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00156200,"November 29, 2021"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Selection of District Support Engineer (DSE),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00156208,"November 29, 2021"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Selection of District Support Engineer (DSE),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00156222,"November 29, 2021"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Selection of District Support Engineer (DSE),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00156243,"November 29, 2021"
Strengthening Systems for Social Protection and Civil Registration Project - P154548,http://projects.worldbank.org/en/projects-operations/project-detail/P154548,"A local firm to manage media houses (national radio, tv, etc.) for dissemination of communication and outreach material",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00136608,"November 28, 2021"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Procurement of Slice 1: FMD Vaccines, Slice 2: Logistics for FMD Vaccination Programme, Slice 3: Diagnostic Kits",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00156184,"November 28, 2021"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Selection of District Support Engineer (DSE),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00155867,"November 26, 2021"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Selection of District Support Engineer (DSE),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00155900,"November 26, 2021"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Selection of District Support Engineer (DSE),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00155905,"November 26, 2021"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Selection of District Support Engineer (DSE),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00155582,"November 25, 2021"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Selection of District Support Engineer (DSE),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00155586,"November 25, 2021"
